game,id,hours,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date,win,mac,linux,steam deck,captions available,co-op,co-op any,commentary available,controller support any,cross-platform multiplayer,early access,family sharing,full controller support,geforce now,has_demo,hdr available,in-app purchases,includes level editor,includes source sdk
Black The Fall,308060,,72.0,78.0,75.0,74.0,649.0,7/11/2017,x,,,x,,,,,,,,x,,,,,,,
Blacklight: Retribution,209870,2.066666667,75.0,48.0,41.0,48.0,152.0,7/2/2012,,,,,,,x,,,,,x,,,,,,x,
Blade and Sorcery,629730,4.2,,96.0,96.0,94.0,44529.0,12/11/2018,x,,,,,,,,,,x,x,,,,,,,
Blade Symphony,225600,6.5,72.0,65.0,64.0,64.0,4707.0,5/7/2014,x,x,x,x,,,,,,x,,,,,,,x,x,x
Blender,365670,3.766666667,,96.0,96.0,94.0,56191.0,1/2/1994,x,x,x,,,,,,,,,,,,,,,,
Block N Load,299360,0.4,72.0,78.0,77.0,76.0,15296.0,4/30/2015,x,,,,,,,,,,,,,,,,,x,
Bloons TD Battles,444640,0.3,,90.0,90.0,88.0,28568.0,4/20/2016,x,x,,x,,,x,,,,,,,,,,x,,
Bloons TD Battles 2,1276390,2.616666667,,83.0,83.0,82.0,28908.0,11/30/2021,x,x,,x,,,,,,,,,,,,,x,,
Bopl Battle,1686940,1.716666667,,96.0,96.0,93.0,5396.0,11/16/2023,x,,,x,,,x,,,,,x,,,x,,,,
Borderlands 2,49520,370.7166667,89.0,95.0,95.0,94.0,187985.0,9/17/2012,x,x,x,x,,,x,,,,,x,,,,,,,
Borderlands 3,397540,132.6,81.0,85.0,85.0,84.0,102040.0,3/13/2020,x,,,x,,,x,,,x,,x,,,,,,,
Borderlands: The Pre-Sequel,261640,10.53333333,75.0,83.0,83.0,81.0,27873.0,10/14/2014,x,x,x,x,,,x,,,,,x,,,,,,,
BPM: BULLETS PER MINUTE,1286350,9.666666667,,92.0,92.0,89.0,8875.0,9/15/2020,x,,,x,,,,,,,,x,,,,,,,
Brawlhalla,291550,1.95,,82.0,82.0,81.0,360578.0,10/17/2017,x,x,,x,,,x,,,x,,,,x,,,,,
Brotato,1942280,17.43333333,,97.0,97.0,95.0,70666.0,6/23/2023,x,,,x,,,,,,,,x,,,,,,,
Brutal Legend,225260,13.03333333,80.0,94.0,94.0,91.0,9604.0,2/26/2013,x,x,x,x,,,,,,,,x,,,,,,,
